timestamp,turbine_id,wind_speed,wind_direction,power_output,date,hour,hourly_mean_output,hourly_std_dev_output,hourly_anomaly
2022-03-01 00:00:00,11,9.1,269.0,2.9,2022-03-01,0,2.870967741935484,0.8575910246681677,False
2022-03-01 01:00:00,11,12.3,245.0,1.8,2022-03-01,1,2.987096774193548,0.8523465396515162,False
2022-03-01 02:00:00,11,14.3,135.0,2.9,2022-03-01,2,2.9838709677419355,0.8050245438053627,False
2022-03-01 03:00:00,11,9.6,171.0,2.6,2022-03-01,3,2.8774193548387097,0.8409160391776558,False
2022-03-01 04:00:00,11,9.2,316.0,4.2,2022-03-01,4,3.196774193548387,0.9724484119882632,False
2022-03-01 05:00:00,11,14.1,176.0,3.2,2022-03-01,5,2.806451612903226,0.7827027890035774,False
2022-03-01 06:00:00,11,14.5,251.0,3.5,2022-03-01,6,3.109677419354839,0.8653919492382925,False
2022-03-01 07:00:00,11,10.4,64.0,2.5,2022-03-01,7,3.0677419354838706,0.9228170988064008,False
2022-03-01 08:00:00,11,13.2,346.0,3.7,2022-03-01,8,2.948387096774194,0.8342145877977821,False
2022-03-01 09:00:00,11,10.0,322.0,2.4,2022-03-01,9,2.948387096774194,0.7370531268693981,False
2022-03-01 10:00:00,11,12.0,244.0,3.5,2022-03-01,10,3.0677419354838706,0.9067844642009085,False
2022-03-01 11:00:00,11,14.4,313.0,4.1,2022-03-01,11,2.664516129032258,0.9148946704755232,False
2022-03-01 12:00:00,11,13.1,77.0,3.2,2022-03-01,12,3.02258064516129,0.8503762608082592,False
2022-03-01 13:00:00,11,9.7,231.0,2.1,2022-03-01,13,2.8096774193548386,0.90640492743206,False
2022-03-01 14:00:00,11,11.3,137.0,1.6,2022-03-01,14,2.9967741935483874,0.8121920425481247,False
2022-03-01 15:00:00,11,14.7,62.0,1.7,2022-03-01,15,2.935483870967742,0.7670499275782832,False
2022-03-01 16:00:00,11,9.3,24.0,1.9,2022-03-01,16,3.293548387096774,0.9612268146734733,False
2022-03-01 17:00:00,11,14.1,67.0,1.7,2022-03-01,17,3.0161290322580645,0.9007762482783201,False
2022-03-01 18:00:00,11,13.6,310.0,3.1,2022-03-01,18,2.883870967741936,0.9444916707568323,False
2022-03-01 19:00:00,11,13.3,268.0,1.5,2022-03-01,19,2.9645161290322584,0.9621324881382931,False
2022-03-01 20:00:00,11,13.9,238.0,4.4,2022-03-01,20,2.97741935483871,0.8647580306726866,False
2022-03-01 21:00:00,11,11.4,47.0,3.1,2022-03-01,21,2.838709677419355,0.8662861033764917,False
2022-03-01 22:00:00,11,12.1,283.0,2.0,2022-03-01,22,2.7838709677419353,0.9643985255738586,False
2022-03-01 23:00:00,11,13.9,146.0,2.1,2022-03-01,23,2.967741935483871,0.7721774825233698,False
2022-03-02 00:00:00,11,10.4,259.0,2.2,2022-03-02,0,2.870967741935484,0.8575910246681677,False
2022-03-02 01:00:00,11,13.4,220.0,3.9,2022-03-02,1,2.987096774193548,0.8523465396515162,False
2022-03-02 02:00:00,11,11.3,107.0,2.3,2022-03-02,2,2.9838709677419355,0.8050245438053627,False
2022-03-02 03:00:00,11,12.1,193.0,3.4,2022-03-02,3,2.8774193548387097,0.8409160391776558,False
2022-03-02 04:00:00,11,14.4,180.0,2.6,2022-03-02,4,3.196774193548387,0.9724484119882632,False
2022-03-02 05:00:00,11,11.0,37.0,2.7,2022-03-02,5,2.806451612903226,0.7827027890035774,False
2022-03-02 06:00:00,11,11.9,87.0,4.2,2022-03-02,6,3.109677419354839,0.8653919492382925,False
2022-03-02 07:00:00,11,14.8,35.0,3.1,2022-03-02,7,3.0677419354838706,0.9228170988064008,False
2022-03-02 08:00:00,11,13.8,0.0,3.6,2022-03-02,8,2.948387096774194,0.8342145877977821,False
2022-03-02 09:00:00,11,9.8,167.0,3.4,2022-03-02,9,2.948387096774194,0.7370531268693981,False
2022-03-02 10:00:00,11,10.7,324.0,3.9,2022-03-02,10,3.0677419354838706,0.9067844642009085,False
2022-03-02 11:00:00,11,12.0,139.0,3.4,2022-03-02,11,2.664516129032258,0.9148946704755232,False
2022-03-02 12:00:00,11,9.5,25.0,3.2,2022-03-02,12,3.02258064516129,0.8503762608082592,False
2022-03-02 13:00:00,11,14.2,73.0,4.5,2022-03-02,13,2.8096774193548386,0.90640492743206,False
2022-03-02 14:00:00,11,12.5,278.0,3.4,2022-03-02,14,2.9967741935483874,0.8121920425481247,False
2022-03-02 15:00:00,11,13.7,223.0,3.8,2022-03-02,15,2.935483870967742,0.7670499275782832,False
2022-03-02 16:00:00,11,11.1,149.0,4.1,2022-03-02,16,3.293548387096774,0.9612268146734733,False
2022-03-02 17:00:00,11,13.7,11.0,3.4,2022-03-02,17,3.0161290322580645,0.9007762482783201,False
2022-03-02 18:00:00,11,11.8,126.0,1.8,2022-03-02,18,2.883870967741936,0.9444916707568323,False
